mesh,ell,kappa,level,case,seed,dof,eps_m,maxdisp_m,sup_DV,cert,min_area,t_assembly_frozen_s,t_assembly_extra_s,t_frozen_s,iters_frozen,conv_frozen,res_frozen,t_fresh_s,iters_fresh,conv_fresh,res_fresh,has_fresh
almond_lam12,d4,74.688859,5,U,5038,2673,0.0133,0.013277222,22.219183,0.295515,3.315207e-06,5.335,0.000,4.004,51,true,1.7077e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5039,2673,0.0133,0.013294982,23.289051,0.309744,4.036098e-06,5.198,0.000,4.330,53,true,1.9347e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5040,2673,0.0133,0.013285124,21.726664,0.288965,3.436820e-06,5.443,0.000,4.138,51,true,1.4830e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5041,2673,0.0133,0.013280892,23.862994,0.317378,3.492641e-06,5.596,0.000,4.093,48,true,2.6486e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5042,2673,0.0133,0.013300278,18.376635,0.244409,3.857978e-06,5.244,0.000,3.985,49,true,2.7298e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5043,2673,0.0133,0.013297527,19.684530,0.261804,3.303361e-06,5.850,0.000,4.328,47,true,2.1081e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5044,2673,0.0133,0.013283742,37.470964,0.498364,3.679712e-06,5.385,0.000,4.266,51,true,1.9254e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5045,2673,0.0133,0.013270164,28.735288,0.382179,3.530365e-06,5.442,0.000,4.764,51,true,2.7370e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5046,2673,0.0133,0.013278792,29.587854,0.393518,3.024294e-06,5.487,0.000,4.517,54,true,1.6522e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5047,2673,0.0133,0.013301046,18.620624,0.247654,3.538794e-06,5.365,0.000,4.383,51,true,2.1365e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5048,2673,0.0133,0.013284878,20.461551,0.272139,3.829180e-06,5.646,0.000,4.508,56,true,1.6057e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5049,2673,0.0133,0.013289495,27.092981,0.360337,3.943065e-06,5.675,0.000,4.202,51,true,1.8154e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5050,2673,0.0133,0.013256235,21.852203,0.290634,3.654396e-06,5.272,0.000,4.245,52,true,2.4377e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5051,2673,0.0133,0.013264193,27.465764,0.365295,3.698665e-06,5.637,0.000,4.620,50,true,2.0704e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5052,2673,0.0133,0.013256021,24.595723,0.327123,4.150363e-06,5.454,0.000,4.222,52,true,1.9415e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5053,2673,0.0133,0.013281497,21.061168,0.280114,3.727787e-06,5.865,0.000,4.099,51,true,1.6350e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5054,2673,0.0133,0.013279538,30.483078,0.405425,3.933147e-06,5.444,0.000,4.477,58,true,2.2061e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5055,2673,0.0133,0.013276074,21.008189,0.279409,4.268657e-06,5.694,0.000,3.993,49,true,2.1944e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5056,2673,0.0133,0.013278078,18.544353,0.246640,3.458635e-06,5.473,0.000,4.132,49,true,1.8683e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5057,2673,0.0133,0.013287796,18.679457,0.248437,4.024739e-06,5.434,0.000,4.238,51,true,1.9030e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5058,2673,0.0133,0.013257161,21.872629,0.290906,3.534207e-06,5.369,0.000,4.225,51,true,2.3582e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5059,2673,0.0133,0.013296247,18.622881,0.247684,3.792195e-06,5.770,0.000,4.346,54,true,2.4663e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5060,2673,0.0133,0.013279365,32.843131,0.436814,3.704940e-06,5.376,0.000,4.470,54,true,2.7640e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5061,2673,0.0133,0.013280695,26.460895,0.351930,3.725904e-06,5.693,0.000,4.374,53,true,1.8588e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5062,2673,0.0133,0.013246652,27.823993,0.370059,3.455240e-06,5.651,0.000,3.943,49,true,2.4102e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5063,2673,0.0133,0.013285038,30.421438,0.404605,3.759405e-06,5.488,0.000,4.836,56,true,1.6661e-07,NaN,-1,false,NaN,false
