iteration,resnorm
605,6.58586723e-02
606,6.58381656e-02
607,6.58250600e-02
608,6.58184960e-02
609,6.57786521e-02
610,6.56970800e-02
611,6.56359001e-02
612,6.55974723e-02
613,6.55662456e-02
614,6.55070980e-02
615,6.54452882e-02
616,6.53829047e-02
617,6.53297159e-02
618,6.53118247e-02
619,6.52465952e-02
620,6.51449027e-02
621,6.50653547e-02
622,6.49809329e-02
623,6.49150523e-02
624,6.47298165e-02
625,6.43316924e-02
626,6.39499714e-02
627,6.37120366e-02
628,6.35157022e-02
629,6.34722703e-02
630,6.34574301e-02
631,6.34442285e-02
632,6.34384538e-02
633,6.34344413e-02
634,6.33938984e-02
635,6.33333369e-02
636,6.32102591e-02
637,6.30154087e-02
638,6.24326251e-02
639,6.14886822e-02
640,6.03153942e-02
641,5.92960413e-02
642,5.84169135e-02
643,5.78607332e-02
644,5.73588640e-02
645,5.70235158e-02
646,5.68693428e-02
647,5.68167014e-02
648,5.68029115e-02
649,5.67955915e-02
650,5.67620353e-02
651,5.66280554e-02
652,5.62972407e-02
653,5.57750425e-02
654,5.47315710e-02
655,5.34603444e-02
656,5.21305480e-02
657,5.09171383e-02
658,5.00096985e-02
659,4.93979417e-02
660,4.91044592e-02
661,4.89597657e-02
662,4.88971410e-02
663,4.88724624e-02
664,4.88706915e-02
665,4.88548302e-02
666,4.87772398e-02
667,4.85089845e-02
668,4.80603755e-02
669,4.71516686e-02
670,4.59066427e-02
671,4.45830688e-02
672,4.35585739e-02
673,4.28471482e-02
674,4.25088691e-02
675,4.22722194e-02
676,4.21663827e-02
677,4.21111388e-02
678,4.21040425e-02
679,4.21012955e-02
680,4.20750262e-02
681,4.19811032e-02
682,4.18170763e-02
683,4.15694956e-02
684,4.11006296e-02
685,4.04535127e-02
686,3.96936143e-02
687,3.90811636e-02
688,3.86458156e-02
689,3.84128584e-02
690,3.83408585e-02
691,3.82936028e-02
692,3.82525281e-02
693,3.82427794e-02
694,3.82421164e-02
695,3.82419003e-02
696,3.82289849e-02
697,3.82026210e-02
698,3.81359409e-02
699,3.80927344e-02
700,3.80447050e-02
701,3.79521770e-02
702,3.78765439e-02
703,3.78373610e-02
704,3.78138083e-02
705,3.77941523e-02
706,3.77834268e-02
707,3.77742091e-02
708,3.77694689e-02
709,3.77684566e-02
710,3.77631096e-02
711,3.77589989e-02
712,3.77410574e-02
713,3.76944031e-02
714,3.75661041e-02
715,3.73155438e-02
716,3.70869636e-02
717,3.69473564e-02
718,3.68488016e-02
719,3.68081393e-02
720,3.67914144e-02
721,3.67856780e-02
722,3.67837400e-02
723,3.67790771e-02
724,3.67430650e-02
725,3.66275307e-02
726,3.63924846e-02
727,3.58370319e-02
728,3.50416238e-02
729,3.41351709e-02
730,3.34102500e-02
731,3.28747737e-02
732,3.26240979e-02
733,3.25017508e-02
734,3.24760602e-02
735,3.24732441e-02
736,3.24710434e-02
737,3.24708382e-02
738,3.24610580e-02
739,3.24214356e-02
740,3.23228663e-02
741,3.20936185e-02
742,3.16054310e-02
743,3.09187468e-02
744,3.00176555e-02
745,2.89248054e-02
746,2.79905622e-02
747,2.73910741e-02
748,2.69914871e-02
749,2.67905976e-02
750,2.67157790e-02
751,2.66861697e-02
752,2.66848416e-02
753,2.66826493e-02
754,2.66541740e-02
755,2.65542257e-02
756,2.62876640e-02
757,2.58151336e-02
758,2.50793082e-02
759,2.41007787e-02
760,2.31848890e-02
761,2.25332337e-02
762,2.20660065e-02
763,2.18408277e-02
764,2.17817142e-02
765,2.17434308e-02
766,2.17335898e-02
767,2.17271854e-02
768,2.17101297e-02
769,2.16595183e-02
770,2.15320750e-02
771,2.13404490e-02
772,2.10898208e-02
773,2.07167652e-02
774,2.03740284e-02
775,2.00885540e-02
776,1.98979342e-02
777,1.97234049e-02
778,1.96536584e-02
779,1.96152516e-02
780,1.95814078e-02
781,1.95774789e-02
782,1.95768867e-02
783,1.95672924e-02
784,1.95472432e-02
785,1.95053536e-02
786,1.94513947e-02
787,1.93730177e-02
788,1.92810227e-02
789,1.92262894e-02
790,1.91787471e-02
791,1.91495271e-02
792,1.91294331e-02
793,1.91193255e-02
794,1.91003468e-02
795,1.90846046e-02
796,1.90709426e-02
797,1.90677795e-02
798,1.90636543e-02
799,1.90596045e-02
800,1.90380017e-02
801,1.90127503e-02
802,1.89744063e-02
803,1.89572952e-02
804,1.89526127e-02
805,1.89509768e-02
806,1.89460507e-02
807,1.89450521e-02
808,1.89448880e-02
809,1.89364697e-02
810,1.89124363e-02
811,1.88992549e-02
812,1.88971191e-02
813,1.88962742e-02
814,1.88770316e-02
815,1.88175521e-02
816,1.87353171e-02
817,1.86249326e-02
818,1.85232497e-02
819,1.84642471e-02
820,1.84226577e-02
821,1.84078145e-02
822,1.84031229e-02
823,1.84015163e-02
824,1.83968688e-02
825,1.83875615e-02
826,1.83705350e-02
827,1.83293426e-02
828,1.82515536e-02
829,1.81462795e-02
830,1.79973395e-02
831,1.78095036e-02
832,1.76546111e-02
833,1.75396652e-02
834,1.74769475e-02
835,1.74459709e-02
836,1.74400723e-02
837,1.74399584e-02
838,1.74183686e-02
839,1.73898999e-02
840,1.73182772e-02
841,1.72293899e-02
842,1.71167297e-02
843,1.68687942e-02
844,1.66122541e-02
845,1.63988113e-02
846,1.62594862e-02
847,1.61937994e-02
848,1.61663132e-02
849,1.61619762e-02
850,1.61592178e-02
851,1.61476189e-02
852,1.61331566e-02
853,1.61191538e-02
854,1.60923553e-02
855,1.60331272e-02
856,1.58407398e-02
857,1.55424643e-02
858,1.53263646e-02
859,1.52260793e-02
860,1.51692881e-02
861,1.51328218e-02
862,1.51060318e-02
863,1.50918937e-02
864,1.50877476e-02
865,1.50873243e-02
866,1.50846264e-02
867,1.50672227e-02
868,1.50185306e-02
869,1.49242532e-02
870,1.48175393e-02
871,1.47284576e-02
872,1.46753837e-02
873,1.46289144e-02
874,1.45707923e-02
875,1.45227877e-02
876,1.44951638e-02
877,1.44868625e-02
878,1.44849897e-02
879,1.44849510e-02
880,1.44837445e-02
881,1.44816318e-02
882,1.44742873e-02
883,1.44567099e-02
884,1.44260778e-02
885,1.43826011e-02
886,1.43129497e-02
887,1.42846306e-02
888,1.42724046e-02
889,1.42565655e-02
890,1.42371582e-02
891,1.42184957e-02
892,1.42051205e-02
893,1.42016589e-02
894,1.42016387e-02
895,1.41885785e-02
896,1.41608299e-02
897,1.41203261e-02
898,1.41069088e-02
899,1.40966502e-02
900,1.40862688e-02
901,1.40849086e-02
902,1.40821771e-02
903,1.40798282e-02
904,1.40694174e-02
905,1.40538851e-02
906,1.40341597e-02
907,1.40273095e-02
908,1.40121073e-02
909,1.39694541e-02
910,1.39012673e-02
911,1.38002525e-02
912,1.37376950e-02
913,1.37151057e-02
914,1.37107947e-02
915,1.37056320e-02
916,1.37047349e-02
917,1.37035198e-02
918,1.36924063e-02
919,1.36745282e-02
920,1.36418669e-02
921,1.35796955e-02
922,1.34479506e-02
923,1.32321257e-02
924,1.30400836e-02
925,1.28901232e-02
926,1.27954576e-02
927,1.27710831e-02
928,1.27688575e-02
929,1.27661005e-02
930,1.27567851e-02
931,1.27344679e-02
932,1.26841498e-02
933,1.26064973e-02
934,1.24415293e-02
935,1.21899865e-02
936,1.19112672e-02
937,1.17365347e-02
938,1.16288948e-02
939,1.15504727e-02
940,1.15080844e-02
941,1.14858290e-02
942,1.14806947e-02
943,1.14794627e-02
944,1.14771102e-02
945,1.14408492e-02
946,1.13291623e-02
947,1.10920501e-02
948,1.08412569e-02
949,1.05474266e-02
950,1.03147154e-02
951,1.01826095e-02
952,1.01309283e-02
953,1.01056902e-02
954,1.00916972e-02
955,1.00829377e-02
956,1.00574173e-02
957,1.00332635e-02
958,1.00026539e-02
959,9.96565217e-03
960,9.92338891e-03
961,9.83781572e-03
962,9.68332434e-03
963,9.53337715e-03
964,9.42005149e-03
965,9.36646125e-03
966,9.33367926e-03
967,9.31994056e-03
968,9.31375035e-03
969,9.31116337e-03
970,9.30963315e-03
971,9.29984797e-03
972,9.28069459e-03
973,9.25058304e-03
974,9.20089215e-03
975,9.16124040e-03
976,9.14404426e-03
977,9.13263191e-03
978,9.12830647e-03
979,9.12684052e-03
980,9.11497200e-03
981,9.09230691e-03
982,9.06910665e-03
983,9.05108735e-03
984,9.04246180e-03
985,9.04016214e-03
986,9.03900176e-03
987,9.03516899e-03
988,9.02928955e-03
989,9.02425867e-03
990,9.02056259e-03
991,9.01983649e-03
992,9.01854314e-03
993,9.01802272e-03
994,9.01566048e-03
995,9.01513058e-03
996,9.01151172e-03
997,9.00717319e-03
998,8.99241033e-03
999,8.95741262e-03
1000,8.90378782e-03
1001,8.85272348e-03
1002,8.83218107e-03
1003,8.82774461e-03
1004,8.82206552e-03
1005,8.81869947e-03
1006,8.81838411e-03
1007,8.80479699e-03
1008,8.78687229e-03
1009,8.76064333e-03
1010,8.71577323e-03
1011,8.63637875e-03
1012,8.50700823e-03
1013,8.39210059e-03
1014,8.31203585e-03
1015,8.26506182e-03
1016,8.24950723e-03
1017,8.23949152e-03
1018,8.23582010e-03
1019,8.23551117e-03
1020,8.23487638e-03
1021,8.22296668e-03
1022,8.18145191e-03
1023,8.09468473e-03
1024,7.95890781e-03
1025,7.78673217e-03
1026,7.61740840e-03
1027,7.50874212e-03
1028,7.44871492e-03
1029,7.40919963e-03
1030,7.39031704e-03
1031,7.38577399e-03
1032,7.38423428e-03
1033,7.38087780e-03
1034,7.36998027e-03
1035,7.34946295e-03
1036,7.30470134e-03
1037,7.21919701e-03
1038,7.09172488e-03
1039,6.98208275e-03
1040,6.91895246e-03
1041,6.88440320e-03
1042,6.87225730e-03
1043,6.86703356e-03
1044,6.86630685e-03
1045,6.86539793e-03
1046,6.85901663e-03
1047,6.84422007e-03
1048,6.82355831e-03
1049,6.79446033e-03
1050,6.76338868e-03
1051,6.73144550e-03
1052,6.71560824e-03
1053,6.70724952e-03
1054,6.70323335e-03
1055,6.70183055e-03
1056,6.69990212e-03
1057,6.69673928e-03
1058,6.69541609e-03
1059,6.69376759e-03
1060,6.69344208e-03
1061,6.69221743e-03
1062,6.68884054e-03
1063,6.68726787e-03
