iteration,resnorm
390,2.49849106e-01
391,2.49243236e-01
392,2.48690799e-01
393,2.48517309e-01
394,2.48321986e-01
395,2.48124194e-01
396,2.48033302e-01
397,2.47969373e-01
398,2.47690389e-01
399,2.47000254e-01
400,2.45468834e-01
401,2.43817030e-01
402,2.42009805e-01
403,2.40290779e-01
404,2.38692878e-01
405,2.37814891e-01
406,2.37243143e-01
407,2.36865199e-01
408,2.36637437e-01
409,2.36533737e-01
410,2.36482817e-01
411,2.36424455e-01
412,2.36294898e-01
413,2.35894331e-01
414,2.34952220e-01
415,2.33683441e-01
416,2.32117603e-01
417,2.30210939e-01
418,2.27956469e-01
419,2.26368084e-01
420,2.25141381e-01
421,2.24320694e-01
422,2.23990596e-01
423,2.23839071e-01
424,2.23646030e-01
425,2.23332605e-01
426,2.22961006e-01
427,2.22328670e-01
428,2.21754843e-01
429,2.20789122e-01
430,2.19241917e-01
431,2.17323372e-01
432,2.15357520e-01
433,2.13161377e-01
434,2.11081728e-01
435,2.09487612e-01
436,2.08505567e-01
437,2.07846412e-01
438,2.07694266e-01
439,2.07665516e-01
440,2.07592213e-01
441,2.07460013e-01
442,2.07028506e-01
443,2.06295124e-01
444,2.05416096e-01
445,2.04377554e-01
446,2.03346175e-01
447,2.02648286e-01
448,2.02103174e-01
449,2.01727205e-01
450,2.01483214e-01
451,2.01365376e-01
452,2.01301837e-01
453,2.01130197e-01
454,2.00982191e-01
455,2.00761537e-01
456,2.00612459e-01
457,2.00433155e-01
458,2.00245350e-01
459,1.99968143e-01
460,1.99586699e-01
461,1.99079509e-01
462,1.98607145e-01
463,1.98024092e-01
464,1.97337730e-01
465,1.96433477e-01
466,1.95595423e-01
467,1.94913102e-01
468,1.94346420e-01
469,1.93869108e-01
470,1.93595778e-01
471,1.93283308e-01
472,1.92942991e-01
473,1.92443710e-01
474,1.91923587e-01
475,1.91417338e-01
476,1.91158322e-01
477,1.90890868e-01
478,1.90667196e-01
479,1.90307762e-01
480,1.90042419e-01
481,1.89599261e-01
482,1.88884476e-01
483,1.88114834e-01
484,1.87668470e-01
485,1.86920339e-01
486,1.86382639e-01
487,1.85894030e-01
488,1.85657035e-01
489,1.85538101e-01
490,1.85387973e-01
491,1.85147112e-01
492,1.84810606e-01
493,1.84234912e-01
494,1.83754501e-01
495,1.83235143e-01
496,1.82379690e-01
497,1.81178985e-01
498,1.80083765e-01
499,1.79097863e-01
500,1.78219941e-01
501,1.77765584e-01
502,1.77617799e-01
503,1.77597517e-01
504,1.77597289e-01
505,1.77570609e-01
506,1.77445334e-01
507,1.77143123e-01
508,1.76722546e-01
509,1.76304612e-01
510,1.75597853e-01
511,1.74641520e-01
512,1.73586358e-01
513,1.72539939e-01
514,1.71819106e-01
515,1.71498467e-01
516,1.71140204e-01
517,1.70890152e-01
518,1.70816773e-01
519,1.70808136e-01
520,1.70762628e-01
521,1.70582861e-01
522,1.70470404e-01
523,1.70264877e-01
524,1.69935914e-01
525,1.69456868e-01
526,1.68673803e-01
527,1.67910500e-01
528,1.67053885e-01
529,1.66328437e-01
530,1.65639704e-01
531,1.64851621e-01
532,1.64298555e-01
533,1.63830109e-01
534,1.63530848e-01
535,1.63233673e-01
536,1.62944402e-01
537,1.62802179e-01
538,1.62648798e-01
539,1.62454350e-01
540,1.62114762e-01
541,1.61600728e-01
542,1.61233794e-01
543,1.60850326e-01
544,1.60403862e-01
