phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
85.0000,V,nominal,fresh,7.91144097e-04,45,1.364
85.0000,V,perturbed,frozen,7.99210865e-04,54,4.139
85.0000,V,perturbed,fresh,7.99210808e-04,53,1.671
85.0000,H,nominal,fresh,4.19478419e-03,48,1.417
85.0000,H,perturbed,frozen,3.44453622e-03,54,4.244
85.0000,H,perturbed,fresh,3.44453585e-03,52,1.484
87.5000,V,nominal,fresh,6.91110438e-04,45,1.346
87.5000,V,perturbed,frozen,7.38893412e-04,54,4.193
87.5000,V,perturbed,fresh,7.38893730e-04,53,1.669
87.5000,H,nominal,fresh,5.33741205e-03,47,1.420
87.5000,H,perturbed,frozen,5.17952257e-03,54,4.380
87.5000,H,perturbed,fresh,5.17952203e-03,53,1.670
90.0000,V,nominal,fresh,7.26725250e-04,45,1.403
90.0000,V,perturbed,frozen,1.03270438e-03,54,4.138
90.0000,V,perturbed,fresh,1.03270483e-03,53,1.676
90.0000,H,nominal,fresh,7.84444552e-03,47,1.397
90.0000,H,perturbed,frozen,7.84361268e-03,54,4.129
90.0000,H,perturbed,fresh,7.84361110e-03,53,1.658
92.5000,V,nominal,fresh,8.34012177e-04,45,1.352
92.5000,V,perturbed,frozen,1.31917890e-03,54,4.000
92.5000,V,perturbed,fresh,1.31917944e-03,53,1.800
92.5000,H,nominal,fresh,9.52104404e-03,47,1.398
92.5000,H,perturbed,frozen,7.91110903e-03,54,3.993
92.5000,H,perturbed,fresh,7.91110651e-03,53,1.663
95.0000,V,nominal,fresh,9.04961919e-04,45,1.356
95.0000,V,perturbed,frozen,1.30574477e-03,54,4.124
95.0000,V,perturbed,fresh,1.30574533e-03,53,1.644
95.0000,H,nominal,fresh,8.40826011e-03,46,1.356
95.0000,H,perturbed,frozen,5.03743263e-03,54,4.171
95.0000,H,perturbed,fresh,5.03743065e-03,53,1.652
97.5000,V,nominal,fresh,8.93498500e-04,45,1.345
97.5000,V,perturbed,frozen,1.05948274e-03,54,3.915
97.5000,V,perturbed,fresh,1.05948311e-03,53,1.652
97.5000,H,nominal,fresh,5.06188393e-03,47,1.394
97.5000,H,perturbed,frozen,2.45052450e-03,54,3.974
97.5000,H,perturbed,fresh,2.45052379e-03,53,1.647
100.0000,V,nominal,fresh,9.31907832e-04,45,1.345
100.0000,V,perturbed,frozen,1.02931308e-03,54,4.080
100.0000,V,perturbed,fresh,1.02931336e-03,53,1.642
100.0000,H,nominal,fresh,2.77120248e-03,48,1.407
100.0000,H,perturbed,frozen,3.22671249e-03,54,3.966
100.0000,H,perturbed,fresh,3.22671214e-03,53,1.658
102.5000,V,nominal,fresh,1.24506662e-03,45,1.349
102.5000,V,perturbed,frozen,1.58770097e-03,54,4.136
102.5000,V,perturbed,fresh,1.58770064e-03,53,1.637
102.5000,H,nominal,fresh,4.24868516e-03,48,1.400
102.5000,H,perturbed,frozen,6.65485693e-03,54,4.056
102.5000,H,perturbed,fresh,6.65485878e-03,53,1.635
105.0000,V,nominal,fresh,1.86405459e-03,45,1.339
105.0000,V,perturbed,frozen,2.51715552e-03,54,4.002
105.0000,V,perturbed,fresh,2.51715484e-03,53,1.638
105.0000,H,nominal,fresh,7.96226269e-03,48,1.398
105.0000,H,perturbed,frozen,8.70327005e-03,54,3.981
105.0000,H,perturbed,fresh,8.70327275e-03,53,1.648
107.5000,V,nominal,fresh,2.45554446e-03,44,1.330
107.5000,V,perturbed,frozen,3.08320219e-03,54,3.957
