case,ell_name,ell,seed,nfeat,c,scale,dead,ramp,x_tip,d,sup_DV,sup_DV_surface,file
U,d10,0.02523744,1003,512,0.0625,0.23326593168662396,0.0,0.0,0.14721755875200002,0.2523744,50.445888073446696,41.31880039221102,fields/U_d10_1003.csv
U,d10,0.02523744,1004,512,0.0625,0.2866698827925911,0.0,0.0,0.14721755875200002,0.2523744,52.58816929770379,50.544206788837805,fields/U_d10_1004.csv
U,d10,0.02523744,1005,512,0.0625,0.32215566445570887,0.0,0.0,0.14721755875200002,0.2523744,55.59049256939397,49.50461570408092,fields/U_d10_1005.csv
U,d10,0.02523744,1006,512,0.0625,0.27088108957895946,0.0,0.0,0.14721755875200002,0.2523744,43.98937187751397,43.14304310254076,fields/U_d10_1006.csv
U,d10,0.02523744,1007,512,0.0625,0.29778633646697705,0.0,0.0,0.14721755875200002,0.2523744,52.44974509970994,47.34100389731423,fields/U_d10_1007.csv
U,d10,0.02523744,1008,512,0.0625,0.303767835733657,0.0,0.0,0.14721755875200002,0.2523744,61.23131587998118,48.92891694968336,fields/U_d10_1008.csv
U,d10,0.02523744,1009,512,0.0625,0.2988673303209168,0.0,0.0,0.14721755875200002,0.2523744,52.50257554466944,48.46414825396069,fields/U_d10_1009.csv
U,d4,0.0630936,1000,512,0.0625,0.31964978441348674,0.0,0.0,0.14721755875200002,0.2523744,21.386766540678266,20.862855607362075,fields/U_d4_1000.csv
U,d4,0.0630936,1001,512,0.0625,0.24958883973969898,0.0,0.0,0.14721755875200002,0.2523744,18.34326264349867,17.7216934207923,fields/U_d4_1001.csv
U,d4,0.0630936,1002,512,0.0625,0.4324110582763739,0.0,0.0,0.14721755875200002,0.2523744,33.56866138999456,30.169114784600435,fields/U_d4_1002.csv
U,d4,0.0630936,1003,512,0.0625,0.6091947388201574,0.0,0.0,0.14721755875200002,0.2523744,35.13507878137084,30.286836848773966,fields/U_d4_1003.csv
U,d4,0.0630936,1004,512,0.0625,0.29214250837978173,0.0,0.0,0.14721755875200002,0.2523744,21.436846139504244,21.415715257628197,fields/U_d4_1004.csv
U,d4,0.0630936,1005,512,0.0625,0.524750683688942,0.0,0.0,0.14721755875200002,0.2523744,28.719562935481306,22.66185921855678,fields/U_d4_1005.csv
U,d4,0.0630936,1006,512,0.0625,0.3425831124968195,0.0,0.0,0.14721755875200002,0.2523744,19.37923989828828,17.05880340489845,fields/U_d4_1006.csv
U,d4,0.0630936,1007,512,0.0625,0.4127121392449895,0.0,0.0,0.14721755875200002,0.2523744,24.97938705151393,24.544290583390175,fields/U_d4_1007.csv
U,d4,0.0630936,1008,512,0.0625,0.3769942077980477,0.0,0.0,0.14721755875200002,0.2523744,23.921776463796554,23.61996197248114,fields/U_d4_1008.csv
U,d4,0.0630936,1009,512,0.0625,0.5914589309748985,0.0,0.0,0.14721755875200002,0.2523744,27.896413053900506,26.850590555581416,fields/U_d4_1009.csv
U,d4,0.0630936,5000,512,0.0625,0.41137689957587326,0.0,0.0,0.14721755875200002,0.2523744,27.140377545136317,25.296402671772853,fields/U_d4_5000.csv
U,d4,0.0630936,5001,512,0.0625,0.2992155170650242,0.0,0.0,0.14721755875200002,0.2523744,18.091657031370133,16.698711516518426,fields/U_d4_5001.csv
U,d4,0.0630936,5002,512,0.0625,0.3932740292785216,0.0,0.0,0.14721755875200002,0.2523744,23.215954604078416,21.58418754346095,fields/U_d4_5002.csv
U,d4,0.0630936,5003,512,0.0625,0.4523444388781086,0.0,0.0,0.14721755875200002,0.2523744,28.22451803837882,22.235222775533153,fields/U_d4_5003.csv
U,d4,0.0630936,5004,512,0.0625,0.5106037845733368,0.0,0.0,0.14721755875200002,0.2523744,24.75409892412952,22.180732577366584,fields/U_d4_5004.csv
U,d4,0.0630936,5005,512,0.0625,0.324614762132472,0.0,0.0,0.14721755875200002,0.2523744,20.38751772467798,20.25125184738142,fields/U_d4_5005.csv
U,d4,0.0630936,5006,512,0.0625,0.3045575621712167,0.0,0.0,0.14721755875200002,0.2523744,17.236559979963992,15.856188115050461,fields/U_d4_5006.csv
U,d4,0.0630936,5007,512,0.0625,0.30963052416196735,0.0,0.0,0.14721755875200002,0.2523744,17.187457159564484,17.184197757605602,fields/U_d4_5007.csv
U,d4,0.0630936,5008,512,0.0625,0.4469865868929726,0.0,0.0,0.14721755875200002,0.2523744,24.137841448988944,23.33533877765476,fields/U_d4_5008.csv
U,d4,0.0630936,5009,512,0.0625,0.28912136513806624,0.0,0.0,0.14721755875200002,0.2523744,24.75018542011766,22.668067066636787,fields/U_d4_5009.csv
U,d4,0.0630936,5010,512,0.0625,0.4615513262772616,0.0,0.0,0.14721755875200002,0.2523744,34.85932643401825,28.728424924759217,fields/U_d4_5010.csv
U,d4,0.0630936,5011,512,0.0625,0.4587286100931025,0.0,0.0,0.14721755875200002,0.2523744,33.21214980565008,33.20006106320333,fields/U_d4_5011.csv
U,d4,0.0630936,5012,512,0.0625,0.36287953765172426,0.0,0.0,0.14721755875200002,0.2523744,21.02551583326253,18.984754038318755,fields/U_d4_5012.csv
U,d4,0.0630936,5013,512,0.0625,0.3438165673391907,0.0,0.0,0.14721755875200002,0.2523744,21.766623032604166,20.787936926127166,fields/U_d4_5013.csv
U,d4,0.0630936,5014,512,0.0625,0.3634155985143926,0.0,0.0,0.14721755875200002,0.2523744,23.874582803221468,18.215746324940685,fields/U_d4_5014.csv
U,d4,0.0630936,5015,512,0.0625,0.3413212286704402,0.0,0.0,0.14721755875200002,0.2523744,20.90387086238653,20.89514287419633,fields/U_d4_5015.csv
U,d4,0.0630936,5016,512,0.0625,0.3622585798366809,0.0,0.0,0.14721755875200002,0.2523744,20.898356529595524,18.65929898316613,fields/U_d4_5016.csv
U,d4,0.0630936,5017,512,0.0625,0.36426351567061116,0.0,0.0,0.14721755875200002,0.2523744,25.194119373802394,25.19336905089727,fields/U_d4_5017.csv
U,d4,0.0630936,5018,512,0.0625,0.2613720799311726,0.0,0.0,0.14721755875200002,0.2523744,15.885252411836541,14.646165851260088,fields/U_d4_5018.csv
